x,y,z,label,group
6.217771,-6.7369275,-10.746488,7.0,1
8.411251,-12.018542,2.7920341,4.0,0
-7.006084,11.076033,-13.192918,4.0,0
-17.800188,7.6375475,13.505413,1.0,0
0.70256615,4.3596625,-4.1042767,14.0,2
4.7965856,6.8652034,3.4219327,16.0,4
1.6581364,-17.259863,1.7696544,13.0,2
-9.736875,-36.209652,0.518749,3.0,0
0.89800394,-15.206283,-3.0538125,2.0,0
0.048843186,-4.394516,-11.681096,4.0,0
0.16986871,-8.496047,3.7043948,8.0,1
5.0095596,25.442577,-1.5139084,19.0,5
-24.369019,-9.957641,17.40428,4.0,0
-5.9492865,7.58266,-29.233704,14.0,2
1.3997701,-20.729753,21.079624,6.0,3
-28.08121,9.923288,-2.5610108,0.0,5
-25.953775,10.385344,-7.7399426,1.0,0
-8.84057,8.355701,-4.570997,7.0,1
-9.804024,-1.1313888,-1.0301039,12.0,2
-16.539864,-6.0028477,-9.353845,5.0,0
14.03161,4.633686,-26.683355,0.0,5
28.683111,11.11008,0.95036685,10.0,1
-18.713085,12.400779,-2.669279,6.0,3
-17.032553,-13.768168,-8.7982855,2.0,0
-8.717328,-31.994843,-10.365189,4.0,0
9.5527,-11.792691,19.284521,1.0,0
0.4349252,4.796318,-4.4240236,12.0,2
12.965118,-21.945358,1.3905069,9.0,1
4.9125443,24.257526,0.692371,15.0,5
-2.4199777,-1.4610995,11.268438,7.0,1
2.8957102,13.524033,-9.037153,6.0,3
17.124437,14.385535,10.498179,13.0,2
13.128726,-15.976845,-19.848066,12.0,2
9.125808,10.339066,11.436948,17.0,4
10.97184,-4.6588445,11.658512,18.0,4
23.595078,10.32751,8.1704645,10.0,1
-11.1744375,10.710309,-1.6075938,8.0,1
-18.310646,19.088276,8.2520685,11.0,2
-12.580593,6.174993,1.4039422,8.0,1
-4.15573,26.243742,1.0254587,16.0,4
19.85896,8.943408,5.79619,9.0,1
-15.026362,-9.659775,9.971359,4.0,0
26.419197,-15.734217,-14.35447,3.0,0
24.723858,3.9501863,-3.2802134,9.0,1
29.344461,-3.6243403,5.528001,9.0,1
28.483086,-14.341147,-1.9102865,4.0,0
-1.0233738,-18.334272,3.487021,4.0,0
13.109701,-5.26575,12.829782,8.0,1
13.995045,-7.712491,19.540354,12.0,2
2.4329228,2.32637,-31.252174,14.0,2
-13.424991,-8.732916,-5.037998,5.0,0
10.261307,21.170639,-4.6244793,15.0,5
1.5713418,-21.411348,-4.2857246,2.0,0
8.025301,7.1249332,20.774755,13.0,2
-0.5181832,35.638332,-15.974435,17.0,4
-14.266855,5.606306,14.931375,11.0,2
-8.871832,14.242513,-7.1998835,7.0,1
20.065445,-4.8902254,-0.5756362,10.0,1
-20.689688,-17.28664,-9.666928,2.0,0
-3.9407282,9.358878,-29.755095,14.0,2
8.751052,-18.898676,-23.608595,12.0,2
-15.490241,-10.063931,2.3253567,5.0,0
-12.065336,-10.437841,7.504355,4.0,0
2.9505005,-21.662752,13.961134,6.0,3
20.23363,11.967801,17.86068,7.0,1
7.112093,21.899506,5.6201296,0.0,5
-12.376789,-17.77766,17.25735,11.0,2
12.758285,-1.0721796,23.42857,16.0,4
-3.9281716,24.049047,-9.82721,0.0,5
-4.772654,-21.395016,18.508991,6.0,3
0.81240344,30.186878,-13.858905,17.0,4
-1.3943484,20.127707,13.586647,7.0,1
-8.186816,-0.81138515,-24.527184,12.0,2
-6.4808245,1.1243453,17.080254,7.0,1
-4.338447,-7.9743023,2.7178652,3.0,0
-19.29444,-15.861081,7.9090924,12.0,2
-19.02998,14.841378,10.171537,11.0,2
-4.2306347,5.877485,-17.416504,7.0,1
-21.234245,-16.786736,-8.1757345,2.0,0
-9.311727,-14.85406,-19.022533,2.0,0
2.6680624,25.428925,-9.602899,0.0,5
6.583649,13.232412,5.2189345,16.0,4
-7.2886553,25.03799,-18.202732,1.0,0
-9.801438,-10.209009,6.1853595,2.0,0
-5.927966,13.235205,7.6942663,7.0,1
-12.259977,-32.10015,-0.5449437,3.0,0
-3.9819894,21.442266,-3.1601932,2.0,0
-16.016905,-5.232105,-6.3092957,1.0,0
25.914637,2.4215539,13.637734,10.0,1
3.1238434,-14.519706,-1.0418544,12.0,2
-0.89412606,-16.437708,-5.0926394,12.0,2
1.3345438,34.345657,-15.676917,17.0,4
-2.311726,-1.3026278,33.297894,12.0,2
-9.997638,11.933746,-19.163794,2.0,0
13.707703,-4.9575768,12.014437,8.0,1
14.247469,-13.092043,-0.2129263,8.0,1
-0.65191644,25.77569,-14.092043,18.0,4
-24.112492,2.452131,-4.9977155,5.0,0
-31.579805,9.916426,-9.402582,0.0,5
4.92355,-15.001833,-12.765027,1.0,0
-18.754318,-17.21783,-9.085592,6.0,3
-13.969569,10.669977,-11.205365,12.0,2
-22.394173,5.0868287,5.243936,8.0,1
10.551943,-18.472881,-1.0349997,4.0,0
23.551155,-10.922118,-20.338017,17.0,4
-11.376014,10.548231,-6.901392,12.0,2
0.048881825,-14.7992525,-0.29070568,12.0,2
-11.811827,-0.7856734,-25.983025,12.0,2
2.5074778,-18.504982,-17.024609,1.0,0
-7.977958,-18.938435,16.868355,6.0,3
6.4943542,6.099015,10.799463,18.0,4
-8.488432,-1.6980829,-11.53712,4.0,0
-6.94918,-32.79322,1.9417902,3.0,0
16.997114,-1.3231459,24.223467,10.0,1
23.501263,-0.2003133,-14.112309,9.0,1
