X,Y,Z,label
1.72476e+01,-7.74661e+00,-1.09887e-01,1.00000e+00
9.15418e-01,6.64576e+00,2.53828e+01,9.00000e+00
1.31397e+01,-4.03051e+00,-1.39234e+01,2.00000e+00
1.19354e+01,1.07952e+01,-1.54455e+01,2.00000e+00
9.71880e+00,1.21626e+01,1.21299e+01,7.00000e+00
1.37862e+01,-1.56982e+01,2.06895e-01,1.00000e+00
-1.82857e+01,3.78675e+00,-5.97558e+00,8.00000e+00
-1.38144e+01,1.85408e+00,-8.71411e+00,3.00000e+00
-2.22737e+01,1.18516e+00,-1.97064e+00,3.00000e+00
-2.12071e+00,1.73980e+01,2.23244e+01,7.00000e+00
-4.85855e-02,1.67825e+01,1.50889e+01,7.00000e+00
-2.17582e-01,-1.74222e-01,-2.00938e+01,5.00000e+00
-7.23396e+00,-2.38516e+01,-2.23358e+01,0.00000e+00
6.63496e+00,-1.50114e+01,2.90666e+00,1.00000e+00
1.73974e+01,7.05001e+00,-1.52503e+01,2.00000e+00
9.47472e+00,9.38851e+00,1.43668e+01,9.00000e+00
1.08159e+01,6.63547e+00,-8.56133e+00,2.00000e+00
8.36992e+00,1.35841e+01,1.24089e+01,7.00000e+00
1.20395e+01,1.44889e+01,6.75323e+00,7.00000e+00
2.52387e+00,5.59549e+00,1.57330e+01,9.00000e+00
-2.16381e+01,-1.55208e+00,-5.21071e-01,9.00000e+00
-3.00706e+00,1.16086e+01,-4.16156e-02,8.00000e+00
-4.29759e+00,4.64828e-02,-8.51142e+00,5.00000e+00
1.31780e+00,1.33552e+01,3.95110e-01,8.00000e+00
1.90860e+01,-4.52824e+00,-6.91967e-01,1.00000e+00
-4.53581e+00,-3.48201e-01,-2.39327e+01,2.00000e+00
-1.51579e+01,7.61788e+00,-5.24376e+00,3.00000e+00
1.02091e+00,2.09749e+01,2.42388e+01,7.00000e+00
1.23309e+00,-4.26750e+00,-2.26487e+00,5.00000e+00
2.77925e+00,-3.22284e+00,-2.12721e+00,5.00000e+00
-1.00246e+01,-8.10337e+00,-2.47519e+01,6.00000e+00
-9.85535e+00,-2.24937e+01,-2.02391e+01,0.00000e+00
8.16039e+00,7.30660e+00,1.36070e+01,9.00000e+00
-5.85011e+00,-1.94253e+01,-1.89442e+01,0.00000e+00
1.49662e+01,-1.34820e+00,-1.43655e+01,2.00000e+00
-6.22057e+00,-4.49659e+00,2.95347e+00,5.00000e+00
4.39527e-01,-1.56025e+01,-1.52891e+01,0.00000e+00
-4.61872e+00,-2.37784e+01,-2.13239e+01,0.00000e+00
1.25204e+01,-3.31977e+00,-1.38946e+01,2.00000e+00
9.82340e+00,9.20910e+00,1.41733e+01,9.00000e+00
-6.67250e+00,-5.83379e-01,1.66988e+00,5.00000e+00
-6.52580e-01,1.46896e+01,1.82041e+01,7.00000e+00
1.37699e+01,8.19875e+00,-1.38918e+01,2.00000e+00
1.39370e+01,4.11473e+00,1.50063e+01,4.00000e+00
-2.04779e+01,6.31631e+00,2.51214e+00,8.00000e+00
-2.19831e+00,-3.22910e+00,-1.96219e+01,6.00000e+00
-3.46572e+00,-1.74007e+01,-1.65119e+01,0.00000e+00
4.01745e+00,8.77576e+00,-2.29255e+00,8.00000e+00
-2.11746e+01,5.27034e-01,-1.60747e+00,3.00000e+00
-3.62491e+00,2.30772e+00,2.49358e+01,9.00000e+00
-1.47019e-01,5.84448e+00,2.51865e+01,9.00000e+00
1.37260e+01,5.92699e+00,1.45575e+01,4.00000e+00
-1.56680e+01,1.79949e+00,-2.58006e+00,3.00000e+00
4.44910e+00,8.65055e+00,1.97069e+01,9.00000e+00
5.39323e+00,-1.50789e+00,1.28193e-01,8.00000e+00
2.28326e+00,-1.82974e+01,6.20971e+00,1.00000e+00
-6.43898e+00,-5.98399e+00,-2.18939e+01,6.00000e+00
-5.19815e+00,-2.38635e+01,-2.11670e+01,0.00000e+00
-2.04902e+01,6.35639e+00,-4.01540e+00,3.00000e+00
1.77249e+01,-4.89909e+00,-9.77272e-01,1.00000e+00
-5.03907e-01,8.97491e+00,1.72366e+01,9.00000e+00
-9.30021e+00,-3.07027e+00,-2.59271e+01,6.00000e+00
1.26221e+01,5.43465e+00,1.90189e+01,4.00000e+00
-1.11754e+01,-1.68778e+01,-1.78367e+01,0.00000e+00
1.44285e+01,4.70600e+00,-1.54090e+01,2.00000e+00
-3.60385e+00,-2.84003e+00,2.76820e+01,9.00000e+00
-7.95805e-01,1.57483e+01,1.95541e+01,3.00000e+00
-5.79318e+00,-2.42415e+01,-2.25259e+01,0.00000e+00
-2.44676e+00,6.15611e+00,2.26000e+01,9.00000e+00
-1.12780e+01,-2.91857e+00,-9.33709e-01,3.00000e+00
-4.70040e+00,1.10130e+01,-4.29804e+00,8.00000e+00
-1.00845e+01,-4.72981e+00,-2.69075e+01,6.00000e+00
-1.28586e+01,1.86415e+00,-3.25844e+00,3.00000e+00
8.84398e+00,-1.75807e+01,3.51973e+00,1.00000e+00
1.20847e+01,2.07022e+00,-9.21918e+00,2.00000e+00
1.11941e+01,7.11999e+00,-9.12434e+00,2.00000e+00
-7.14259e+00,-2.39573e+01,-1.71099e+01,3.00000e+00
1.01376e+01,-7.78659e+00,-6.32275e+00,2.00000e+00
-4.29021e+00,-4.88819e+00,1.22227e+00,5.00000e+00
1.83815e+01,-4.64028e+00,-4.17002e+00,1.00000e+00
5.95344e+00,-1.44203e+01,3.27970e+00,1.00000e+00
2.33041e+00,1.17367e+01,-2.80112e-01,8.00000e+00
-1.35972e+01,1.25039e-01,-1.17297e+01,3.00000e+00
6.35731e+00,1.79774e+01,1.66332e+01,7.00000e+00
2.59912e+00,2.23493e+00,2.00554e+01,4.00000e+00
3.82248e-01,-3.20481e+00,-2.01921e+01,6.00000e+00
-2.05384e+01,1.91005e+00,-1.09023e+00,3.00000e+00
1.77472e+01,-6.73473e+00,-7.44317e-01,1.00000e+00
-5.53699e+00,-2.44647e+01,-2.14498e+01,0.00000e+00
-5.07436e+00,5.71267e-01,2.54140e+01,9.00000e+00
1.40008e+01,6.49832e+00,-1.94242e+01,2.00000e+00
1.38380e+00,1.80032e+01,2.12233e+01,7.00000e+00
-5.73058e+00,-4.36911e+00,2.93539e+01,4.00000e+00
1.02343e+00,1.30430e+01,8.71135e-01,8.00000e+00
-2.14946e-01,1.60121e+01,1.72525e+01,7.00000e+00
8.43938e+00,-1.54000e+01,3.20673e+00,1.00000e+00
-2.25802e+00,-5.48084e+00,-2.78081e+01,6.00000e+00
3.08887e+00,1.92975e+01,2.04571e+01,7.00000e+00
-4.44516e+00,1.13507e+01,9.05431e-01,8.00000e+00
-1.44169e+01,6.42029e+00,-6.47538e+00,3.00000e+00
-1.67614e+01,1.98310e+00,-8.30781e+00,3.00000e+00
1.59800e+01,6.69274e+00,-2.02393e+01,2.00000e+00
-1.69751e+01,6.68335e+00,-6.21815e+00,3.00000e+00
1.36789e+01,6.08993e+00,1.49330e+01,4.00000e+00
7.21658e+00,9.89891e+00,1.62741e+01,9.00000e+00
-5.24045e-01,-1.52927e+01,-1.49650e+01,0.00000e+00
