X,Y,Z,label
-2.41570e+01,-6.45644e+00,-2.39786e+01,3.00000e+00
1.44191e+01,-1.47755e+01,1.39587e+01,9.00000e+00
2.79759e+01,-8.89297e-02,5.51767e+00,9.00000e+00
-3.45843e+00,-3.21882e+00,3.75639e+00,5.00000e+00
7.18577e+00,-5.42836e+00,-3.24046e+01,8.00000e+00
5.73995e+00,4.42203e+01,-3.35021e+00,1.00000e+00
4.66681e+00,-1.49467e+01,2.64789e+01,4.00000e+00
5.85170e+00,-1.02212e+00,-2.37329e+01,8.00000e+00
-1.03014e+01,2.45418e+01,-2.75607e+01,2.00000e+00
-9.83569e+00,3.30074e+01,1.13067e+01,1.00000e+00
3.22743e+01,-1.12829e+01,-6.50745e+00,4.00000e+00
-2.34129e+01,-3.71519e+01,3.68403e+00,0.00000e+00
-1.31127e-02,3.92120e+01,2.79994e+00,1.00000e+00
-2.88637e+01,-5.27338e+00,1.49522e+01,6.00000e+00
2.05503e+01,1.84623e+01,1.65748e+01,7.00000e+00
-3.12746e+00,-2.22826e+01,-2.40148e+01,8.00000e+00
2.88860e+01,1.61256e+01,1.27188e+01,7.00000e+00
-1.04403e+01,2.46117e+01,-2.73686e+01,2.00000e+00
-3.98919e+00,1.30885e+00,5.03121e+00,5.00000e+00
2.54322e+01,-1.00961e+01,-2.30419e+00,4.00000e+00
-2.79106e+01,1.05024e+00,2.16433e+01,6.00000e+00
1.07016e+01,5.06629e+00,-2.96857e+01,8.00000e+00
-1.83624e+01,-1.66030e+00,1.83944e+01,6.00000e+00
2.65441e+01,1.37544e+01,1.92645e+01,7.00000e+00
-1.11479e+01,2.06265e+01,2.65084e+01,1.00000e+00
-1.20235e+01,2.20237e+01,1.87487e+01,1.00000e+00
-1.47266e+00,3.05692e+01,7.53998e+00,1.00000e+00
-1.75752e+01,-3.91204e+01,-2.34362e-02,0.00000e+00
1.83694e+01,3.67827e+00,-2.89757e+01,8.00000e+00
-1.75512e+01,-4.55775e+00,-1.43958e+01,3.00000e+00
-1.87435e+01,1.27936e+00,1.65161e+01,6.00000e+00
-9.48882e+00,2.56760e+01,-1.42539e+01,2.00000e+00
-1.44633e+01,-1.53611e+01,-2.33614e+01,3.00000e+00
-6.22763e+00,3.47705e+01,7.73534e+00,1.00000e+00
-2.68240e+01,3.88988e+00,1.54005e+01,6.00000e+00
-6.47953e+00,2.47011e+01,1.26053e+01,1.00000e+00
-1.27567e+01,2.34466e+01,-6.39208e+00,2.00000e+00
-2.29401e+00,2.09517e+01,-2.93741e+01,2.00000e+00
-1.81383e+01,-2.93197e+00,1.65307e+01,6.00000e+00
1.30649e+01,-1.85226e+01,8.73076e+00,9.00000e+00
5.62453e-01,2.41828e+01,-2.53095e+01,2.00000e+00
-3.63987e+00,-2.66599e+01,-1.78109e+01,8.00000e+00
6.45807e-01,-1.11926e+01,1.09769e+00,5.00000e+00
-4.40594e+00,2.62756e+01,-1.59128e+01,2.00000e+00
2.20786e+01,6.32222e+00,2.85455e+01,7.00000e+00
-9.51177e+00,1.55261e+01,1.87346e+01,1.00000e+00
-3.57239e+00,2.76802e+01,-2.88547e+01,2.00000e+00
-9.13613e+00,3.25288e+01,1.02552e+01,1.00000e+00
2.95746e+01,1.69943e+01,1.60983e+01,7.00000e+00
-1.96058e+01,-9.52951e+00,-1.62656e+01,3.00000e+00
-9.62928e+00,-2.97777e+00,9.07566e-01,5.00000e+00
-5.52982e+00,-1.35263e+01,3.22688e+01,6.00000e+00
-3.29322e+01,-3.47019e+01,9.55839e+00,0.00000e+00
-3.17814e+00,3.41725e+01,1.36069e+01,1.00000e+00
3.09584e+01,1.58501e+01,1.29822e+01,7.00000e+00
4.78401e+00,4.28429e+01,-2.07213e+00,1.00000e+00
-5.76193e+00,-1.64839e+01,3.23422e+01,6.00000e+00
1.81288e+01,-5.79475e-01,-3.41393e+01,8.00000e+00
-1.07398e+01,2.03817e+01,1.70453e+01,1.00000e+00
3.27538e+01,-8.10513e+00,-6.90471e+00,4.00000e+00
-1.00013e-01,-1.40077e+01,-3.13499e+01,8.00000e+00
1.39345e+01,5.18195e+00,-3.12110e+01,8.00000e+00
-9.94061e+00,2.25372e+00,-2.08402e+01,3.00000e+00
-1.52323e+01,-1.20139e+01,2.86513e+01,6.00000e+00
-1.44453e+01,-1.55668e+01,-2.28584e+01,3.00000e+00
6.27466e+00,4.28322e+01,-1.74362e+00,1.00000e+00
-2.46066e+01,-3.32125e+01,9.84534e+00,0.00000e+00
1.16389e+01,1.95662e+01,1.28956e+01,7.00000e+00
-1.54312e+01,-1.82781e+01,-1.68511e+01,3.00000e+00
2.72818e+00,4.40317e+01,-4.66467e-01,1.00000e+00
-3.56091e+01,-2.05163e+01,5.20162e+00,0.00000e+00
-1.36435e+01,-1.12123e+01,2.77018e+01,6.00000e+00
2.17729e+01,-1.78716e+01,2.52973e+01,4.00000e+00
1.44312e+00,2.64520e+01,-2.51713e+01,2.00000e+00
-2.23167e+01,-4.42752e+00,-1.65502e+01,3.00000e+00
-2.54976e+01,-4.90190e+00,2.26664e+01,6.00000e+00
2.68849e+01,-1.17400e+01,1.01843e+01,9.00000e+00
2.21474e+01,6.55184e+00,2.86412e+01,7.00000e+00
2.14545e+01,-6.57706e+00,2.24542e+00,4.00000e+00
2.92587e+00,-9.81913e+00,-2.79659e+01,8.00000e+00
-1.79633e+01,-4.12364e+01,3.41440e-01,0.00000e+00
1.74317e+01,2.31768e+01,4.11514e+00,7.00000e+00
-9.17897e+00,2.53878e+01,1.97078e+01,1.00000e+00
2.55161e+01,6.14819e-01,1.12249e+01,9.00000e+00
-1.39250e-01,2.09080e+01,-3.12160e+01,2.00000e+00
