BASE_NODE, NEIGHBOUR 
0,0
0,925
0,850
0,202
0,159
0,487
0,269
0,912
0,273
0,848
0,117
0,87
0,606
0,891
0,868
0,970
0,300
0,544
0,598
0,776
1,1
1,336
1,50
1,557
1,533
1,226
1,270
1,548
1,779
1,369
1,594
1,630
1,571
1,312
1,710
1,68
1,899
1,538
1,53
1,729
2,2
2,38
2,290
2,801
2,605
2,974
2,677
2,147
2,286
2,137
2,185
2,233
2,398
2,417
2,870
2,225
2,18
2,41
2,232
2,10
3,3
3,720
3,632
3,644
3,268
3,942
3,121
3,689
3,980
3,319
3,470
3,490
3,224
3,454
3,326
3,520
3,602
3,344
3,496
3,366
4,4
4,297
4,17
4,994
4,335
4,229
4,173
4,149
4,174
4,403
4,697
4,694
4,153
4,430
4,706
4,990
4,32
4,158
4,952
4,406
5,5
5,649
5,441
5,680
5,164
5,486
5,634
5,927
5,811
5,165
5,918
5,277
5,587
5,504
5,543
5,465
5,188
5,943
5,725
5,628
6,6
6,400
6,58
6,368
6,838
6,48
6,375
6,902
6,52
6,340
6,754
6,908
6,744
6,81
6,675
6,102
6,746
6,860
6,999
6,456
7,7
7,745
7,577
7,940
7,502
7,267
7,467
7,956
7,672
7,72
7,963
7,459
7,936
7,221
7,727
7,651
7,654
7,838
7,675
7,676
8,8
8,48
8,368
8,442
8,234
8,511
8,781
8,523
8,914
8,433
8,777
8,662
8,52
8,102
8,829
8,651
8,94
8,601
8,489
8,910
9,9
9,383
9,731
9,452
9,896
9,989
9,559
9,66
9,712
9,525
9,91
9,620
9,851
9,194
9,934
9,590
9,985
9,182
9,611
9,861
10,10
10,122
10,329
10,417
10,298
10,601
10,586
10,225
10,836
10,94
10,518
10,610
10,515
10,66
10,704
10,18
10,293
10,447
10,318
10,41
11,11
11,125
11,142
11,215
11,687
11,947
11,652
11,723
11,279
11,360
11,85
11,363
11,199
11,995
11,251
11,526
11,45
11,617
11,734
11,988
12,12
12,67
12,665
12,339
12,685
12,884
12,616
12,751
12,648
12,238
12,88
12,875
12,390
12,244
12,235
12,410
12,353
12,542
12,906
12,31
13,13
13,793
13,825
13,826
13,664
13,95
13,80
13,219
13,305
13,527
13,748
13,419
13,190
13,73
13,333
13,543
13,422
13,314
13,197
13,241
14,14
14,232
14,689
14,286
14,454
14,742
14,90
14,451
14,462
14,677
14,632
14,366
14,640
14,70
14,185
14,304
14,2
14,121
14,821
14,24
15,15
15,39
15,694
15,158
15,603
15,153
15,104
15,528
15,309
15,981
15,913
15,873
15,593
15,500
15,17
15,846
15,302
15,637
15,297
15,116
16,16
16,550
16,75
16,660
16,678
16,156
16,220
16,401
16,113
16,155
16,540
16,445
16,758
16,615
16,137
16,59
16,845
16,223
16,930
16,969
17,17
17,297
17,945
17,158
17,568
17,851
17,4
17,697
17,149
17,990
17,993
17,706
17,173
17,83
17,307
17,153
17,518
17,32
17,406
17,831
18,18
18,398
18,706
18,137
18,406
18,173
18,297
18,568
18,17
18,344
18,59
18,185
18,681
18,850
18,253
18,268
18,273
18,678
18,697
18,666
19,19
19,396
19,565
19,53
19,560
19,189
19,455
19,404
19,779
19,196
19,846
19,816
19,637
19,287
19,312
19,225
19,298
19,457
19,571
19,913
20,20
20,294
20,48
20,306
20,523
20,829
20,243
20,908
20,310
20,218
20,177
20,231
20,662
20,511
20,501
20,904
20,433
20,278
20,999
20,426
21,21
21,888
21,98
21,472
21,155
21,508
21,496
21,211
21,613
21,567
21,220
21,70
21,223
21,858
21,41
21,519
21,564
21,210
21,571
21,443
22,22
22,110
22,562
22,954
22,284
22,11
22,926
22,131
22,445
22,920
22,407
22,215
22,828
22,416
22,69
22,337
22,279
22,483
22,478
22,73
23,23
23,93
23,631
23,508
23,130
23,757
23,372
23,400
23,81
23,312
23,19
23,308
23,779
23,309
23,211
23,637
23,949
23,53
23,698
23,560
24,24
24,821
24,572
24,765
24,965
24,640
24,730
24,59
24,868
24,937
24,458
24,850
24,304
24,719
24,544
24,87
24,129
24,117
24,159
24,171
25,25
25,974
25,797
25,193
25,348
25,476
25,275
25,111
25,34
25,365
25,973
25,290
25,547
25,792
25,780
25,716
25,453
25,432
25,968
25,482
26,26
26,405
26,99
26,388
26,629
26,497
26,456
26,387
26,582
26,675
26,805
26,936
26,102
26,658
26,834
26,982
26,48
26,727
26,334
26,904
27,27
27,874
27,863
27,933
27,741
27,873
27,68
27,141
27,346
27,710
27,996
27,360
27,934
27,783
27,653
27,97
27,517
27,91
27,201
27,899
28,28
28,261
28,668
28,876
28,811
28,948
28,543
28,478
28,465
28,950
28,481
28,95
28,190
28,664
28,793
28,305
28,680
28,614
28,367
28,73
29,29
29,820
29,261
29,895
29,668
29,856
29,351
29,967
29,478
29,54
29,481
29,413
29,341
29,981
29,343
29,255
29,935
29,715
29,28
29,952
30,30
30,618
30,352
30,127
30,911
30,453
30,228
30,854
30,428
30,63
30,717
30,213
30,539
30,573
30,596
30,600
30,71
30,61
30,118
30,315
31,31
31,616
31,685
31,708
31,339
31,626
31,709
31,906
31,353
31,751
31,240
31,295
31,235
31,435
31,12
31,33
31,648
31,554
31,900
31,285
32,32
32,560
32,637
32,981
32,952
32,990
32,344
32,250
32,309
32,158
32,945
32,153
32,17
32,623
32,297
32,831
32,568
32,299
32,774
32,403
33,33
33,216
33,46
33,625
33,752
33,627
33,259
33,238
33,708
33,317
33,493
33,339
33,370
33,378
33,554
33,616
33,435
33,475
33,239
33,191
34,34
34,74
34,290
34,547
34,870
34,840
34,974
34,579
34,939
34,25
34,2
34,303
34,185
34,535
34,869
34,232
34,801
34,268
34,38
34,18
35,35
35,699
35,513
35,976
35,460
35,163
35,747
35,998
35,40
35,804
35,312
35,131
35,951
35,78
35,954
35,337
35,819
35,652
35,761
35,19
36,36
36,266
36,105
36,252
36,361
36,887
36,180
36,394
36,625
36,362
36,889
36,735
36,111
36,475
36,338
36,728
36,693
36,272
36,926
36,578
37,37
37,57
37,752
37,685
37,751
37,88
37,244
37,648
37,67
37,665
37,338
37,686
37,272
37,317
37,124
37,339
37,507
37,33
37,321
37,180
38,38
38,605
38,2
38,801
38,610
38,870
38,589
38,892
38,417
38,601
38,293
38,122
38,398
38,94
38,137
38,406
38,818
38,41
38,604
38,233
39,39
39,15
39,104
39,694
39,994
39,153
39,593
39,309
39,873
39,174
39,603
39,528
39,623
39,500
39,952
39,297
39,981
39,4
39,335
39,913
40,40
40,917
40,456
40,214
40,420
40,131
40,998
40,35
40,460
40,747
40,582
40,548
40,387
40,699
40,650
40,810
40,334
40,954
40,513
40,497
41,41
41,417
41,610
41,263
41,985
41,815
41,585
41,94
41,298
41,879
41,60
41,66
41,633
41,293
41,896
41,861
41,555
41,287
41,189
41,707
42,42
42,520
42,786
42,384
42,246
42,213
42,366
42,602
42,840
42,612
42,242
42,624
42,286
42,677
42,445
42,564
42,207
42,232
42,204
42,539
43,43
43,183
43,51
43,894
43,103
43,443
43,262
43,299
43,423
43,373
43,847
43,607
43,436
43,787
43,195
43,681
43,162
43,59
43,937
43,371
44,44
44,128
44,264
44,674
44,619
44,845
44,860
44,829
44,439
44,511
44,662
44,52
44,283
44,234
44,492
44,175
44,414
44,883
44,914
44,167
45,45
45,743
45,280
45,652
45,311
45,85
45,973
45,142
45,199
45,296
45,986
45,995
45,541
45,951
45,780
45,521
45,947
45,363
45,526
45,968
46,46
46,370
46,475
46,625
46,493
46,33
46,321
46,361
46,853
46,272
46,752
46,191
46,216
46,849
46,124
46,317
46,409
46,266
46,212
46,867
47,47
47,115
47,659
47,81
47,262
47,835
47,757
47,681
47,411
47,320
47,400
47,54
47,261
47,876
47,153
47,693
47,478
47,967
47,29
47,935
48,48
48,523
48,908
48,243
48,310
48,52
48,467
48,20
48,442
48,914
48,662
48,8
48,511
48,829
48,754
48,838
48,744
48,999
48,218
48,439
49,49
49,702
49,732
49,931
49,861
49,151
49,270
49,288
49,591
49,899
49,759
49,729
49,226
49,977
49,375
49,661
49,421
49,426
49,282
49,585
50,50
50,336
50,270
50,729
50,816
50,226
50,1
50,710
50,548
50,369
50,533
50,779
50,157
50,557
50,68
50,312
50,19
50,899
50,931
50,377
51,51
51,103
51,894
51,43
51,183
51,299
51,924
51,423
51,262
51,471
51,443
51,481
51,335
51,436
51,592
51,992
51,951
51,32
51,54
51,261
52,52
52,439
52,651
52,467
52,838
52,48
52,72
52,908
52,243
52,310
52,442
52,99
52,754
52,798
52,234
52,914
52,955
52,654
52,963
52,220
53,53
53,281
53,571
53,923
53,189
53,427
53,455
53,509
53,457
53,477
53,210
53,19
53,260
53,308
53,630
53,565
53,679
53,883
53,116
53,312
54,54
54,631
54,29
54,351
54,413
54,924
54,51
54,820
54,856
54,81
54,481
54,32
54,59
54,261
54,24
54,937
54,300
54,544
54,297
54,821
55,55
55,316
55,746
55,107
55,671
55,729
55,999
55,932
55,340
55,150
55,407
55,186
55,377
55,725
55,494
55,188
55,168
55,843
55,824
55,519
56,56
56,541
56,228
56,622
56,275
56,844
56,973
56,882
56,145
56,45
56,402
56,968
56,743
56,797
56,839
56,947
56,684
56,296
56,61
56,854
57,57
57,88
57,665
57,37
57,898
57,67
57,648
57,685
57,339
57,317
57,751
57,752
57,627
57,338
57,238
57,244
57,33
57,686
57,376
57,319
58,58
58,860
58,264
58,368
58,754
58,914
58,48
58,349
58,523
58,167
58,52
58,781
58,439
58,128
58,908
58,8
58,570
58,467
58,243
58,310
59,59
59,850
59,24
59,273
59,544
59,0
59,171
59,912
59,765
59,87
59,117
59,572
59,868
59,398
59,719
59,606
59,159
59,821
59,937
59,965
60,60
60,815
60,41
60,707
60,729
60,816
60,585
60,555
60,896
60,633
60,519
60,385
60,861
60,664
60,825
60,527
60,287
60,759
60,846
60,189
61,61
61,854
61,161
61,716
61,645
61,844
61,778
61,56
61,684
61,453
61,228
61,893
61,973
61,600
61,526
61,819
61,275
61,428
61,953
61,145
62,62
62,787
62,532
62,195
62,698
62,996
62,299
62,423
62,381
62,835
62,308
62,103
62,623
62,39
62,608
62,291
62,971
62,15
62,230
62,637
63,63
63,953
63,554
63,118
63,249
63,216
63,80
63,819
63,238
63,227
63,596
63,450
63,484
63,621
63,328
63,468
63,359
63,56
63,192
63,203
64,64
64,726
64,286
64,786
64,677
64,640
64,389
64,607
64,647
64,232
64,762
64,766
64,257
64,632
64,609
64,480
64,384
64,304
64,59
64,436
65,65
65,700
65,499
65,984
65,546
65,421
65,563
65,479
65,812
65,393
65,807
65,89
65,162
65,503
65,135
65,426
65,580
65,505
65,288
65,245
66,66
66,985
66,94
66,41
66,260
66,318
66,518
66,851
66,417
66,452
66,9
66,301
66,704
66,357
66,610
66,879
66,836
66,225
66,899
66,707
67,67
67,665
67,12
67,244
67,88
67,685
67,648
67,57
67,37
67,339
67,238
67,751
67,916
67,884
67,317
67,390
67,319
67,616
67,979
67,33
68,68
68,899
68,630
68,312
68,861
68,189
68,710
68,779
68,226
68,653
68,548
68,591
68,455
68,50
68,538
68,53
68,270
68,301
68,1
68,108
69,69
69,337
69,562
69,163
69,363
69,561
69,654
69,73
69,407
69,811
69,963
69,199
69,72
69,494
69,485
69,276
69,948
69,343
69,374
69,279
70,70
70,354
70,969
70,211
70,431
70,155
70,448
70,798
70,978
70,567
70,508
70,922
70,728
70,545
70,21
70,613
70,642
70,106
70,472
70,660
71,71
71,428
71,893
71,148
71,703
71,161
71,977
71,558
71,844
71,453
71,778
71,618
71,151
71,194
71,978
71,753
71,395
71,189
71,61
71,636
72,72
72,963
72,798
72,651
72,52
72,337
72,99
72,502
72,636
72,642
72,562
72,439
72,163
72,940
72,871
72,69
72,988
72,7
72,654
72,497
73,73
73,325
73,419
73,197
73,219
73,964
73,948
73,494
73,950
73,527
73,333
73,811
73,95
73,190
73,407
73,793
73,825
73,150
73,305
73,843
74,74
74,758
74,540
74,181
74,258
74,313
74,939
74,838
74,840
74,660
74,830
74,800
74,728
74,171
74,726
74,940
74,34
74,113
74,379
74,902
75,75
75,16
75,232
75,207
75,536
75,550
75,42
75,678
75,624
75,121
75,549
75,615
75,246
75,401
75,758
75,677
75,605
75,155
75,781
75,892
76,76
76,339
76,178
76,554
76,648
76,900
76,577
76,506
76,22
76,124
76,459
76,110
76,901
76,735
76,530
76,739
76,627
76,686
76,751
76,685
77,77
77,233
77,818
77,576
77,300
77,438
77,918
77,95
77,419
77,891
77,639
77,197
77,133
77,667
77,825
77,827
77,793
77,604
77,486
77,628
78,78
78,513
78,495
78,160
78,460
78,163
78,35
78,876
78,416
78,769
78,367
78,28
78,837
78,199
78,976
78,652
78,300
78,592
78,927
78,248
79,79
79,719
79,237
79,765
79,258
79,171
79,833
79,965
79,273
79,912
79,572
79,24
79,545
79,926
79,850
79,320
79,248
79,59
79,113
79,87
80,80
80,664
80,13
80,825
80,748
80,241
80,826
80,219
80,422
80,793
80,527
80,314
80,581
80,305
80,95
80,333
80,419
80,73
80,465
80,614
81,81
81,400
81,949
81,130
81,411
81,115
81,47
81,54
81,93
81,757
81,478
81,291
81,724
81,248
81,631
81,659
81,23
81,560
81,623
81,320
82,82
82,379
82,786
82,459
82,59
82,366
82,687
82,384
