X,Y,Z,label
2.23272e+00,3.31241e+01,-1.05100e+01,0.00000e+00
1.98012e+01,-2.38431e+01,3.22400e+00,1.00000e+00
1.45758e+01,-1.28503e+01,-4.59867e+00,2.00000e+00
-2.25503e+01,3.36554e+00,3.31793e+00,3.00000e+00
3.15897e+01,7.10799e+00,-2.65818e+00,4.00000e+00
-2.56380e+01,1.74878e+01,-1.53358e+01,5.00000e+00
2.43074e+01,1.10771e+01,2.29102e+01,6.00000e+00
-1.09521e+01,-2.46948e+01,-1.12387e+01,7.00000e+00
3.51495e+00,-4.48045e+00,1.40141e+00,8.00000e+00
-1.88594e+01,1.62196e+01,-1.36720e+01,9.00000e+00
4.13801e+00,2.53526e+01,-9.80844e+00,0.00000e+00
-2.06313e+00,-6.19049e+00,-2.26095e+01,1.00000e+00
-7.86951e+00,-6.11804e+00,2.15872e+01,2.00000e+00
-2.89758e+01,-8.71677e+00,-7.77244e-01,3.00000e+00
3.20265e+01,2.19078e+00,-8.22513e+00,4.00000e+00
-2.52969e+00,-2.96274e+01,1.65525e+01,5.00000e+00
2.38430e+01,5.40008e+00,1.38177e+01,6.00000e+00
1.80921e+00,-2.64883e+01,-2.11708e+01,7.00000e+00
-6.27735e-01,-1.54935e+01,7.20913e+00,8.00000e+00
-2.61796e+01,1.15877e+01,-2.22556e+00,9.00000e+00
1.94851e+00,2.07715e+01,9.86102e-01,0.00000e+00
-1.02385e+00,-2.20837e+00,-2.26368e+01,1.00000e+00
-1.02032e+01,-9.26812e+00,2.25267e+01,2.00000e+00
-2.96006e+01,-1.54945e+01,-4.49582e-01,3.00000e+00
3.19764e+01,2.71685e+00,-2.06913e+00,4.00000e+00
-3.08146e+00,-2.64269e+01,2.62969e+01,5.00000e+00
2.43970e+01,1.36173e+01,2.51369e+01,6.00000e+00
-6.33126e+00,-2.71551e+01,-2.54329e+01,7.00000e+00
3.78582e+00,-1.20634e+01,9.10823e-01,8.00000e+00
-2.42212e+01,1.13606e+01,-1.51454e+00,9.00000e+00
5.45865e+00,2.10727e+01,-1.35150e+01,0.00000e+00
-2.65205e+01,1.07584e+01,-4.01578e+00,9.00000e+00
-8.18956e+00,5.60973e+00,-1.41476e+01,5.00000e+00
6.10107e+00,6.69839e+00,-3.80404e+00,5.00000e+00
2.64689e+01,8.33345e+00,1.57459e+01,6.00000e+00
4.99610e+00,7.90510e+00,-4.19806e+00,5.00000e+00
8.42566e+00,2.05134e+01,-4.34365e+00,0.00000e+00
-2.09071e+01,9.69654e+00,-8.97590e-01,9.00000e+00
